,Rank,Player,Team,CurrentSalary,RoundSalary,RoundScore,RoundValue,Year,Round
80,81,Shaun Higgins,Kangaroos,"$381,700","$505,000",96,19.0,2018,1
81,81,Nicholas Holman,Suns,"$348,200","$102,400",96,93.8,2018,1
82,81,Jade Gresham,Saints,"$481,800","$364,600",96,26.3,2018,1
83,81,Hamish Hartlett,Power,"$291,500","$420,000",96,22.9,2018,1
84,81,Jack Ziebell,Kangaroos,"$356,400","$493,600",96,19.4,2018,1
85,81,David MacKay,Crows,"$282,000","$346,400",96,27.7,2018,1
86,81,Matthew Rosa,Suns,"$340,000","$406,800",96,23.6,2018,1
87,88,Edward Curnow,Blues,"$379,400","$473,200",95,20.1,2018,1
88,88,Christian Petracca,Demons,"$618,600","$433,300",95,21.9,2018,1
89,88,George Hewett,Swans,"$613,300","$405,800",95,23.4,2018,1
90,88,Brodie Grundy,Magpies,"$512,900","$534,700",95,17.8,2018,1
91,88,Toby Nankervis,Tigers,"$531,100","$488,300",95,19.5,2018,1
92,88,Jake Kolodjashnij,Cats,"$312,200","$311,500",95,30.5,2018,1
93,94,Mitchell Duncan,Cats,"$486,800","$603,700",94,15.6,2018,1
94,94,Steven Motlop,Power,"$257,500","$403,500",94,23.3,2018,1
95,94,Lewis Taylor,Lions,"$188,400","$437,800",94,21.5,2018,1
96,94,Brad Ebert,Power,"$347,100","$553,500",94,17.0,2018,1
97,94,Trent Cotchin,Tigers,"$454,500","$555,000",94,16.9,2018,1
98,99,Luke Hodge,Lions,"$337,200","$461,800",93,20.1,2018,1
99,99,Zac Fisher,Blues,"$404,900","$263,600",93,35.3,2018,1
100,99,Ben McEvoy,Hawks,"$491,400","$523,300",93,17.8,2018,1
101,99,Josh Kennedy Injured,Swans,"$377,200","$564,200",93,16.5,2018,1
102,99,Oliver Wines,Power,"$580,700","$543,500",93,17.1,2018,1
103,104,Luke Ryan,Dockers,"$531,600","$422,300",92,21.8,2018,1
104,104,Jarrod Harbrow,Suns,"$291,100","$442,000",92,20.8,2018,1
105,104,Cale Hooker,Bombers,"$295,400","$434,600",92,21.2,2018,1
106,104,Cameron Pedersen,Demons,"$367,400","$471,700",92,19.5,2018,1
107,104,Andrew Gaff,Eagles,"$463,900","$512,000",92,18.0,2018,1
108,104,Devon Smith,Bombers,"$322,000","$439,100",92,21.0,2018,1
109,104,Shane Savage,Saints,"$456,900","$479,700",92,19.2,2018,1
110,111,Ricky Henderson,Hawks,"$393,700","$424,600",91,21.4,2018,1
